,AnimeName,ClusterType
0,Bungaku Shoujo Kyou no Oyatsu: Hatsukoi,3
1,Bungaku Shoujo Memoire,0
2,Bungaku Shoujo Movie,0
3,Eiji,3
4,.hack//G.U. Returner,1
5,.hack//G.U. Trilogy,1
6,.hack//G.U. Trilogy: Parody Mode,1
7,.hack//Gift,1
8,.hack//Intermezzo,1
9,.hack//Liminality,1
10,.hack//Quantum,0
11,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,1
12,.hack//Roots,1
13,.hack//Sign,3
14,.hack//Tasogare no Udewa Densetsu,3
15,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,1
16,.hack//The Movie: Sekai no Mukou ni,0
17,.hack//Unison,3
18,.hack//Versus: The Thanatos Report,0
19,009 Re:Cyborg,0
20,009-1,3
21,009-1: R&B,3
22,00:08,3
23,07-Ghost,3
24,1+2=Paradise,1
25,100%,3
26,100-man-nen Chikyuu no Tabi: Bander Book,1
27,1000-nen Joou: Queen Millennia,0
28,1001 Nights,3
29,11-nin Iru!,3
30,11eyes,1
31,11eyes Picture Drama,0
32,11eyes: Momoiro Genmutan,1
33,12-sai.,3
34,12-sai. 2nd Season,0
35,12-sai.: Chicchana Mune no Tokimeki,0
36,15 Bishoujo Hyouryuuki,1
37,1989,0
38,20-dai no Heya-hen,3
39,2005-nen Uchuu no Tabi,3
40,21-ji no Onna: Newscaster Katsuragi Miki,1
41,2x1,1
42,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,1
43,3 Choume no Tama: Uchi no Tama Shirimasenka?,1
44,3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,3
45,3-gatsu no Lion meets Bump of Chicken,0
46,3-tsu no Kumo,3
47,30-sai no Hoken Taiiku,0
48,30-sai no Hoken Taiiku Specials,0
49,30th Gundam Perfect Mission,3
50,3Ping Lovers! Ippu Nisai no Sekai e Youkoso The Animation,0
51,3x3 Eyes,3
52,3x3 Eyes Seima Densetsu,3
53,4-Day Weekend,3
54,44-hiki no Neko,1
55,48x61,3
56,6 Angels,1
57,663114,0
58,6 Princess,2
59,91 Days,0
60,91 Days Recap,0
61,A Kite,3
62,A Piece of Phantasmagoria,3
63,A-Channel,1
64,A-Channel+smile,0
65,A-Channel: +A-Channel,0
66,A-Girl,3
67,A-Ko The Versus,3
68,A-Size Classmate,0
69,A.D. Police (TV),2
70,A.LI.CE,3
71,AD Police,3
72,AIKa,2
73,AIKa R-16: Virgin Mission,1
74,AIKa Zero,1
75,AIKa Zero Picture Drama,2
76,AIKa: Special Trial,2
77,AKB0048,1
78,AKB0048: Next Stage,1
79,Aa! Megami-sama!,3
80,Aa! Megami-sama! (2011),1
81,Aa! Megami-sama! (TV),1
82,Aa! Megami-sama! (TV) Specials,1
83,Aa! Megami-sama! Movie,3
84,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,1
85,Aa! Megami-sama!: Sorezore no Tsubasa,1
